Recording date:	2014/02/18
Recording time:	15:35:27
Recording resolution	1024 x 768

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
1884.8	873.1514	127.1176	0	847.2395	118.6492	0	0.8400	0.1600	
1901.4	874.0312	127.7546	0	843.8698	118.9307	0	0.8388	0.1606	
1918.2	873.0394	128.6404	0	845.9527	120.9993	0	0.8394	0.1625	
1934.8	870.6828	122.6668	0	851.2441	115.8491	0	0.8408	0.1553	
1951.4	870.8382	131.6979	0	843.8290	118.8277	0	0.8372	0.1631	
1968.0	871.6996	139.6437	0	842.3228	122.5959	0	0.8369	0.1707	
1984.8	878.3458	136.9581	0	839.7764	122.3413	0	0.8389	0.1688	
2001.4	856.3132	137.2243	0	834.5942	126.0775	0	0.8256	0.1714	
2018.0	717.2030	103.1708	0	718.8148	93.8228	0	0.7012	0.1283	
2034.7	583.7708	52.0562	0	590.1619	40.1488	0	0.5732	0.0600	
2051.4	474.5708	40.6621	0	543.1877	19.1180	0	0.4970	0.0389	
2068.0	390.7731	56.0124	0	365.7128	-47.8416	0	0.3694	0.0053	
2084.6	377.2910	59.7079	0	384.9255	82.1637	0	0.3722	0.0924	
2101.3	376.9672	69.6641	0	353.9694	-29.9857	0	0.3569	0.0258	
2118.0	382.0511	69.9189	0	335.9531	-36.4657	0	0.3506	0.0218	
2134.6	376.5868	83.7309	0	340.7813	-29.8165	0	0.3503	0.0351	
2151.3	373.3433	72.6674	0	380.8327	87.3046	0	0.3682	0.1041	
2167.9	379.8782	72.0253	0	333.1470	-27.1422	0	0.3482	0.0292	
2184.6	383.5890	74.2899	0	346.2687	-32.6994	0	0.3564	0.0271	
2201.3	377.2853	75.0222	0	383.4070	87.7661	0	0.3714	0.1060	
2217.9	386.4656	73.8796	0	343.1772	-18.5873	0	0.3563	0.0360	
2234.5	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
2251.2	362.0020	59.5016	0	351.8714	51.9803	0	0.3486	0.0726	
2267.9	370.9813	58.4795	0	357.6707	60.2504	0	0.3558	0.0773	
2284.5	357.8656	55.4762	0	356.1476	58.9977	0	0.3486	0.0745	
2301.1	357.4553	49.6684	0	356.6716	57.1831	0	0.3487	0.0696	
2317.9	359.1421	66.2408	0	352.7269	58.1172	0	0.3476	0.0810	
2334.5	359.0923	66.3477	0	352.6137	65.0326	0	0.3475	0.0855	
2351.1	356.6041	65.8881	0	352.9114	60.2964	0	0.3464	0.0822	
2367.7	353.9576	66.4070	0	351.9621	61.0262	0	0.3447	0.0830	
2384.5	350.5841	63.6050	0	348.1254	62.7407	0	0.3412	0.0823	
2401.1	353.1594	60.5540	0	350.1186	61.6115	0	0.3434	0.0795	
2417.7	352.0846	66.8058	0	349.6738	58.1447	0	0.3427	0.0813	
2434.3	352.0451	57.0590	0	345.6361	52.4462	0	0.3407	0.0713	
2451.1	352.2149	58.5644	0	339.1013	52.2185	0	0.3376	0.0721	
2467.7	352.8596	54.0733	0	344.8832	57.9922	0	0.3407	0.0730	
2484.3	345.9855	62.3720	0	338.7344	56.7351	0	0.3343	0.0775	
2501.0	347.0543	65.5547	0	339.9685	52.8155	0	0.3355	0.0771	
2517.7	351.2527	61.1945	0	336.8875	52.8073	0	0.3360	0.0742	
2534.3	349.0386	69.5434	0	337.6834	48.0161	0	0.3353	0.0765	
2550.9	348.1901	64.2264	0	339.7873	54.9825	0	0.3359	0.0776	
2567.6	349.3598	62.3454	0	342.5942	51.4408	0	0.3379	0.0741	
2584.3	346.8447	61.0650	0	338.8004	55.0493	0	0.3348	0.0756	
2600.9	345.3807	60.8117	0	336.2302	54.6071	0	0.3328	0.0751	
2617.6	336.9484	61.9875	0	341.2846	62.8306	0	0.3312	0.0813	
2634.2	341.8876	63.0869	0	337.7323	60.9294	0	0.3318	0.0807	
2650.9	342.1644	57.5087	0	340.4616	53.3345	0	0.3333	0.0722	
2667.6	338.9699	62.4669	0	334.8191	55.1832	0	0.3290	0.0766	
2684.2	340.3774	66.2253	0	334.3292	59.4154	0	0.3294	0.0818	
2700.8	339.9098	65.5369	0	337.2700	55.5813	0	0.3307	0.0789	
2717.5	342.3248	75.6604	0	331.8356	61.0846	0	0.3292	0.0890	
2734.2	342.2932	67.0222	0	336.4741	66.1369	0	0.3314	0.0867	
2750.8	340.6983	86.4781	0	336.1643	82.3591	0	0.3305	0.1099	
2767.5	368.2292	188.5838	0	359.1570	179.6457	0	0.3552	0.2397	
2784.2	401.4705	280.8759	0	392.4711	286.1702	0	0.3877	0.3692	
2800.8	412.4025	326.3603	0	396.3537	318.2129	0	0.3949	0.4196	
2817.4	414.3308	333.1828	0	401.5111	326.9909	0	0.3984	0.4298	
2834.1	409.5375	338.9465	0	401.0649	327.8345	0	0.3958	0.4341	
2850.8	413.2632	336.0429	0	402.2074	321.6597	0	0.3982	0.4282	
2867.4	413.5958	341.9456	0	397.5731	325.3004	0	0.3961	0.4344	
2884.0	412.4869	341.9684	0	399.4023	332.2274	0	0.3964	0.4389	
2900.8	412.0998	336.4831	0	398.1562	328.7195	0	0.3956	0.4331	
2917.4	414.5526	336.6052	0	399.8190	326.4167	0	0.3976	0.4317	
2934.0	416.3198	335.2235	0	396.7555	330.6894	0	0.3970	0.4335	
2950.6	415.1311	332.0634	0	397.0775	333.8707	0	0.3966	0.4336	
2967.4	410.0822	327.0620	0	402.1885	316.2772	0	0.3966	0.4188	
2984.0	408.7867	336.5386	0	402.1378	318.7068	0	0.3960	0.4266	
3000.6	412.9543	334.0632	0	405.6190	323.0506	0	0.3997	0.4278	
3017.2	411.2448	338.3800	0	399.7377	322.1543	0	0.3960	0.4300	
3034.0	408.2403	344.1632	0	398.7949	328.7799	0	0.3941	0.4381	
3050.6	414.4392	338.8263	0	396.2880	324.0455	0	0.3959	0.4316	
3067.2	411.5075	342.4104	0	404.6708	330.9840	0	0.3985	0.4384	
3083.9	409.9499	338.3154	0	400.5191	336.9009	0	0.3957	0.4396	
3100.6	410.4590	352.6618	0	403.8411	346.6947	0	0.3976	0.4553	
3117.2	415.8476	352.2227	0	408.1267	335.5390	0	0.4023	0.4478	
3133.8	487.7154	406.6323	0	464.0816	396.8804	0	0.4647	0.5231	
3150.5	526.8225	469.5001	0	510.7962	448.8274	0	0.5066	0.5979	
3167.2	531.4173	507.1201	0	517.3608	493.8749	0	0.5121	0.6517	
3183.8	538.3167	513.3934	0	524.2280	499.7020	0	0.5188	0.6596	
3200.5	538.4931	515.2073	0	526.2091	493.6033	0	0.5199	0.6568	
3217.1	541.9780	517.0902	0	517.8108	495.8542	0	0.5175	0.6595	
3233.8	539.8008	531.1738	0	524.3730	499.8943	0	0.5196	0.6713	
3250.5	543.7883	521.8165	0	528.3734	488.7390	0	0.5235	0.6579	
3267.1	542.1904	536.3490	0	527.0418	488.5844	0	0.5221	0.6673	
3283.7	543.6506	522.2878	0	528.9638	497.5746	0	0.5237	0.6640	
3300.4	547.2190	518.5138	0	528.5429	499.5804	0	0.5253	0.6628	
3317.1	549.1978	518.4088	0	529.8625	496.9197	0	0.5269	0.6610	
3333.7	552.4611	515.0272	0	542.4888	501.4939	0	0.5346	0.6618	
3350.3	557.2120	518.6428	0	548.6826	503.8517	0	0.5400	0.6657	
3367.1	557.5650	522.7619	0	548.4948	501.5965	0	0.5401	0.6669	
3383.7	561.8602	526.0223	0	549.8954	501.0539	0	0.5428	0.6687	
3400.3	556.8534	528.3654	0	551.0212	508.4149	0	0.5410	0.6750	
3416.9	561.1010	517.3168	0	550.4247	501.4350	0	0.5427	0.6632	
3433.7	567.6337	529.7535	0	550.1543	506.0223	0	0.5458	0.6743	
3450.3	567.5149	525.4851	0	554.7128	510.6157	0	0.5480	0.6745	
3466.9	566.6973	522.8593	0	554.9684	500.9615	0	0.5477	0.6665	
3483.7	570.2944	523.9458	0	558.1039	506.1603	0	0.5510	0.6706	
3500.3	588.4727	538.3526	0	581.9346	517.9565	0	0.5715	0.6877	
3516.9	703.1770	574.6775	0	684.9746	547.2009	0	0.6778	0.7304	
3533.5	797.1271	607.1228	0	769.0999	575.0011	0	0.7648	0.7696	
3550.3	821.2652	610.2831	0	787.9402	575.4577	0	0.7857	0.7720	
3566.9	815.2273	614.7405	0	791.4070	577.8080	0	0.7845	0.7764	
3583.5	819.7828	613.7133	0	790.7111	578.4644	0	0.7864	0.7762	
3600.1	818.5471	614.9069	0	788.6683	580.0023	0	0.7848	0.7779	
3616.9	823.7967	613.2754	0	790.5731	576.5356	0	0.7883	0.7746	
3633.5	824.4277	616.9108	0	795.6967	577.5384	0	0.7911	0.7776	
3650.1	819.7665	610.4796	0	797.3260	574.0373	0	0.7896	0.7712	
3666.8	824.7375	615.9489	0	804.3799	562.7985	0	0.7955	0.7674	
3683.5	821.8790	614.0368	0	802.7432	569.6249	0	0.7933	0.7706	
3700.1	817.3434	618.6602	0	798.6365	574.1488	0	0.7891	0.7766	
3716.8	827.6442	604.4060	0	795.3453	570.5830	0	0.7925	0.7650	
3733.4	833.2995	607.5003	0	802.5658	576.8992	0	0.7988	0.7711	
3750.1	836.0643	607.4978	0	813.2775	585.6942	0	0.8053	0.7768	
3766.7	834.7954	602.0813	0	805.6690	572.4271	0	0.8010	0.7647	
3783.4	836.8837	611.3490	0	815.1346	574.8656	0	0.8066	0.7723	
3800.0	841.0941	607.9232	0	811.9685	582.8897	0	0.8072	0.7753	
3816.7	844.9447	608.5158	0	808.5703	582.9795	0	0.8074	0.7757	
3833.4	843.4706	596.4322	0	809.1415	571.5213	0	0.8069	0.7604	
3850.0	845.3981	614.8861	0	810.4881	567.3048	0	0.8085	0.7697	
3866.6	838.2929	600.8848	0	811.6433	569.7573	0	0.8056	0.7621	
3883.3	699.2241	595.2901	0	702.4733	574.5274	0	0.6844	0.7616	
3900.0	536.5493	563.3438	0	559.0834	539.9918	0	0.5350	0.7183	
3916.6	413.9456	538.7816	0	434.6841	532.5277	0	0.4144	0.6975	
3933.2	291.4422	517.3602	0	320.4275	491.6161	0	0.2988	0.6569	
3950.0	201.6459	505.9089	0	239.7926	478.9985	0	0.2155	0.6412	
3966.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
3983.2	149.4597	502.6127	0	-1.0000	-1.0000	4	0.1460	0.6544	
3999.8	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
4016.6	158.0099	498.9433	0	-1.0000	-1.0000	4	0.1543	0.6497	
4033.2	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
4049.8	162.6136	501.3048	0	-1.0000	-1.0000	4	0.1588	0.6527	
4066.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
4083.2	133.9224	474.2051	0	137.3756	438.3901	0	0.1325	0.5941	
4099.8	140.3514	476.4139	0	132.1167	461.1957	0	0.1330	0.6104	
4116.4	130.1981	467.2152	0	126.3649	453.0411	0	0.1253	0.5991	
4133.1	127.2612	473.7086	0	128.9141	457.0665	0	0.1251	0.6060	
4149.8	128.8891	458.2280	0	128.0899	451.2073	0	0.1255	0.5921	
4166.4	128.7813	467.5464	0	128.0389	458.8007	0	0.1254	0.6031	
4183.0	131.9013	462.8261	0	125.6812	466.0833	0	0.1258	0.6048	
4199.7	127.4372	464.6324	0	121.0948	455.0610	0	0.1214	0.5988	
4216.4	123.8013	467.1558	0	126.7056	444.9569	0	0.1223	0.5938	
4233.0	120.0896	457.7192	0	119.6705	455.9866	0	0.1171	0.5949	
4249.7	119.5823	446.3644	0	116.8299	438.5680	0	0.1154	0.5761	
4266.3	139.9644	474.3818	0	129.3231	460.9158	0	0.1315	0.6089	
4283.0	137.9604	473.4069	0	123.3130	461.8935	0	0.1276	0.6089	
4299.7	135.0077	480.9903	0	132.5666	463.5469	0	0.1307	0.6149	
4316.3	130.2499	475.8832	0	130.3071	448.8661	0	0.1272	0.6021	
4332.9	138.3131	470.3356	0	127.9453	460.2423	0	0.1300	0.6058	
4349.6	132.7965	479.2554	0	132.0777	444.6563	0	0.1293	0.6015	
4366.3	133.9733	471.7808	0	127.7365	460.1116	0	0.1278	0.6067	
4382.9	136.1366	470.9021	0	130.6801	463.0895	0	0.1303	0.6081	
4399.6	137.5042	476.2691	0	129.1856	446.7505	0	0.1302	0.6009	
4416.3	139.5701	468.0607	0	132.1982	458.5239	0	0.1327	0.6032	
4432.9	251.8792	441.2784	0	257.4613	409.3315	0	0.2487	0.5538	
4449.5	400.6604	373.7167	0	387.5072	352.6079	0	0.3848	0.4729	
4466.3	505.0945	346.7217	0	493.4367	328.2614	0	0.4876	0.4394	
4482.9	555.2369	353.5732	0	542.0372	315.5955	0	0.5358	0.4357	
4499.5	573.0859	334.9314	0	550.6508	313.8703	0	0.5487	0.4224	
4516.1	573.1825	338.5619	0	553.2910	304.6595	0	0.5500	0.4188	
4532.9	574.7404	339.5597	0	548.0898	308.6044	0	0.5483	0.4220	
4549.5	574.6230	333.2629	0	559.3041	306.0680	0	0.5537	0.4162	
4566.1	579.5091	335.2243	0	561.8218	305.8898	0	0.5573	0.4174	
4582.7	576.5220	330.1060	0	556.7618	312.2106	0	0.5534	0.4182	
4599.5	573.6902	338.3529	0	557.3300	301.7666	0	0.5523	0.4167	
4616.1	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
4632.7	579.6771	320.4687	0	565.2043	299.4148	0	0.5590	0.4036	
4649.3	583.2645	322.3005	0	566.5132	300.9574	0	0.5614	0.4058	
